Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\DataBaseHelper.designer.cs,100,3,"M:System.Data.Linq.DataContext.ExecuteMethodCall(System.Object,System.Reflection.MethodInfo,System.Object[])",,,,,"IExecuteResult result = this.ExecuteMethodCall(this, ((MethodInfo)(MethodInfo.GetCurrentMethod())), timeStamp, delay, sampleID, systemID, setupID);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\DataBaseHelper.designer.cs,93,4,M:System.Data.Linq.DataContext.GetTable``1,,,,,return this.GetTable<TestSetup>();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\DataBaseHelper.designer.cs,85,4,M:System.Data.Linq.DataContext.GetTable``1,,,,,return this.GetTable<TestSystem>();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\DataBaseHelper.designer.cs,77,4,M:System.Data.Linq.DataContext.GetTable``1,,,,,return this.GetTable<Delay>();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\DataBaseHelper.designer.cs,67,2,T:System.Data.Linq.Mapping.MappingSource,,,,,"public DataBaseHelperDataContext(System.Data.IDbConnection connection, System.Data.Linq.Mapping.MappingSource mappingSource) :   				base(connection, mappingSource)  		{  			OnCreated();  		}"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\DataBaseHelper.designer.cs,67,127,"M:System.Data.Linq.DataContext.#ctor(System.Data.IDbConnection,System.Data.Linq.Mapping.MappingSource)",,,,,":   				base(connection, mappingSource)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\DataBaseHelper.designer.cs,61,2,T:System.Data.Linq.Mapping.MappingSource,,,,,"public DataBaseHelperDataContext(string connection, System.Data.Linq.Mapping.MappingSource mappingSource) :   				base(connection, mappingSource)  		{  			OnCreated();  		}"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\DataBaseHelper.designer.cs,61,108,"M:System.Data.Linq.DataContext.#ctor(System.String,System.Data.Linq.Mapping.MappingSource)",,,,,":   				base(connection, mappingSource)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\DataBaseHelper.designer.cs,56,21,T:System.Data.Linq.Mapping.MappingSource,,,,,mappingSource
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\DataBaseHelper.designer.cs,55,73,"M:System.Data.Linq.DataContext.#ctor(System.Data.IDbConnection,System.Data.Linq.Mapping.MappingSource)",,,,,":   				base(connection, mappingSource)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\DataBaseHelper.designer.cs,50,21,T:System.Data.Linq.Mapping.MappingSource,,,,,mappingSource
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\DataBaseHelper.designer.cs,49,54,"M:System.Data.Linq.DataContext.#ctor(System.String,System.Data.Linq.Mapping.MappingSource)",,,,,":   				base(connection, mappingSource)"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\DataBaseHelper.designer.cs,44,96,T:System.Data.Linq.Mapping.MappingSource,,,,,mappingSource
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,JitterTestAnalyser\JitterTestAnalyser.csproj,File,JitterTestAnalyser\DataBaseHelper.designer.cs,43,37,"M:System.Data.Linq.DataContext.#ctor(System.String,System.Data.Linq.Mapping.MappingSource)",,,,,":   				base(global::JitterTestAnalyser.Properties.Settings.Default.JitterTestDataConnectionString, mappingSource)"
